x-Koordinate [mm],y-Koordinate [mm],axiale Verschiebung [mm],laterale Verschiebung [mm]
0.0000000000000000,0.0000000000000000,-0.0088084404222914,0.0000000000000000
0.1750000000000000,0.0000000000000000,-0.0086615709324665,0.0000000000000000
0.0000000000000000,0.2000000000000000,-0.0087672896645045,0.0000020795356280
0.1754112000000000,0.1995888000000000,-0.0086523878676627,-0.0000060965514105
0.3500000000000000,0.0000000000000000,-0.0085400473786903,-0.0000000000000000
0.0000000000000000,0.4000000000000000,-0.0087556514690952,-0.0000010182069918
0.3511136000000000,0.1988864000000000,-0.0085347759798621,-0.0000094015784841
0.1762176000000000,0.3987824000000000,-0.0086403711644146,-0.0000104329027778
0.5250000000000000,0.0000000000000000,-0.0084206699707547,0.0000000000000000
0.3528928000000000,0.3971072000000000,-0.0085238382876588,-0.0000174398510243
0.5270748440000000,0.1979251560000000,-0.0084161139202436,-0.0000116542309396
0.0000000000000000,0.6000000000000000,-0.0087430957150930,-0.0000044919961220
0.1773584000000000,0.5976416000000000,-0.0086269776146944,-0.0000158707283358
0.5299747560000000,0.3950252440000000,-0.0084059492518767,-0.0000226660357482
0.3552352000000000,0.5947648000000000,-0.0085099025537136,-0.0000255401643882
0.7000000000000000,0.0000000000000000,-0.0083020580380194,0.0000000000000000
0.7032625780000000,0.1967374220000000,-0.0082972612363992,-0.0000135893839862
0.5335728000000000,0.5914272000000000,-0.0083917992956238,-0.0000335004386027
0.0000000000000000,0.8000000000000000,-0.0087281435456542,-0.0000085236375884
0.7074126220000000,0.3925873780000000,-0.0082872086566512,-0.0000269062889939
0.1787728000000000,0.7962272000000000,-0.0086110431000331,-0.0000222578352340
0.3580384000000000,0.7919616000000000,-0.0084930728578495,-0.0000343336009383
0.8750000000000000,0.0000000000000000,-0.0081838711096484,0.0000000000000000
0.8796444440000000,0.1953555560000000,-0.0081784254256199,-0.0000153037760475
0.7123136000000000,0.5876864000000001,-0.0082728351679065,-0.0000401214386232
0.5377420440000000,0.7872579560000000,-0.0083742749106127,-0.0000447170431450
0.8851555560000000,0.3898444440000000,-0.0081680415682502,-0.0000305171835872
0.0000000000000000,1.0000000000000000,-0.0087103964859695,-0.0000132876344292
0.1804000000000000,0.9946000000000000,-0.0085922067806057,-0.0000295447898605
1.0500000000000000,0.0000000000000000,-0.0080660221771563,0.0000000000000000
0.3612000000000000,0.9888000000000000,-0.0084732227619876,-0.0000439739994609
0.7178289780000000,0.7821710220000000,-0.0082547499598978,-0.0000535863863870
0.8914000000000000,0.5836000000000000,-0.0081532955403549,-0.0000457381447685
1.0561880900000000,0.1938119110000000,-0.0080597040469852,-0.0000168092178273
0.5423555560000000,0.9826444440000000,-0.0083535428780097,-0.0000566070619453
1.0631527100000000,0.3868472890000000,-0.0080487188721037,-0.0000336355843707
0.8982444440000000,0.7767555560000000,-0.0081346724449735,-0.0000611840020060
